Modelo,Acurácia (CV),Precisão (CV),Recall (CV),F1 (Treino),F1 (CV),Overfit ΔF1,AUC (CV)
SVM (RBF),0.8994762911694266,0.6794717083025106,0.20319687092568448,0.32494768287434045,0.31250652422842606,0.012441158645914385,0.6551713981117613
MLP,0.8991294122106472,0.6657761213472357,0.21211852554225435,0.3351494612295001,0.3210742569468796,0.014075204282620546,0.789823831428323
Decision Tree,0.8845260204344093,0.4792689437420137,0.2838620362688159,0.6907850203255639,0.35611394491989734,0.33467107540566654,0.6061467404720472
KNN,0.8879600276646394,0.5047637699871241,0.2786279483228636,0.48515630173110813,0.3589798225792416,0.12617647915186653,0.7235281622648355
Naive Bayes,0.8762010999070725,0.44316513231452764,0.389769349294773,0.41350140969758364,0.4144873041097192,-0.000985894412135535,0.7521357393491062
